::ffff:127.0.0.1 - - [11/Sep/2026 02:25:09] "GET /index.html HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:39] "GET /index.html HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/pinyin.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/css/style.css HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/util.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/player.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/data.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/search.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-common.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-home.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-browse.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-work.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-scene.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-library.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/views-misc.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/router.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /assets/js/app.js HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:25:40] "GET /data/music.json HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:27:19] "GET /index.html HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:27:19] "GET /assets/js/pinyin.js HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:27:19] "GET /data/music.json HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:27:59] "GET /index.html HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:27:59] "GET /assets/js/views-misc.js HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:27:59] "GET /data/music.json HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:28:18] "GET /index.html?v=1789064898962 HTTP/1.1" 200 -
::1 - - [11/Sep/2026 02:28:18] "GET /assets/js/pinyin.js HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:28:18] "GET /assets/js/views-work.js HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:28:18] "GET /assets/js/views-scene.js HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:28:19] "GET /assets/js/views-library.js HTTP/1.1" 304 -
::1 - - [11/Sep/2026 02:28:19] "GET /data/music.json HTTP/1.1" 304 -
